Slug;Code;Title;Series;Type;UUID;Locale;Lessons;Quiz;KC;Skills
job-plan-theory-introduction-to-field-leadership-section-2-scorm12-dckui4j2;IFL-32;Job Plan Theory - Introduction to Field Leadership Section 2;IFL;SKILLS;;Y;1;;Y;SK-011, SK-016, SK-117, SK-013, SK-019
jobsite-efficiency-introduction-to-field-leadership-section-2-scorm12--oojrobn;IFL-33;Jobsite Efficiency Introduction to Field Leadership Section 2;IFL;SKILLS;;Y;1;;Y;SK-011, SK-016, SK-028, SK-041, SK-050
leadership-essentials-introduction-to-field-leadership-section-3-scorm12-bzr6yskm;IFL-34;Leadership Essentials- Introduction to Field Leadership Section 3;IFL;SKILLS;;Y;1;;Y;SK-011, SK-016, SK-008, SK-009, SK-012
managing-sub-contractors-scorm12-eprbazox;IFL-35;Managing Sub-contractors;IFL;SKILLS;;Y;9;;Y;SK-052, SK-083, SK-099, SK-112
manpower-projection-introduction-to-field-leadership-section-2-scorm12-9-7cbil_;IFL-36;Manpower Projection - Introduction to Field Leadership Section 2 -;IFL;SKILLS;;Y;1;;Y;SK-011, SK-016, SK-032, SK-018, SK-028
project-structure-delegation-and-team-development-scorm12-saxubt58;IFL-37;Project Structure, Delegation, and Team Development;IFL;SKILLS;;Y;7;;Y;SK-036, SK-011, SK-008, SK-009, SK-018
roles-and-responsibilties-of-a-foreman-introduction-to-field-leadership-section-1-scorm12-j7alnrme;IFL-38;Roles and Responsibilties of a Foreman Introduction to Field Leadership Section - 1;IFL;SKILLS;;Y;1;;;SK-011, SK-018, SK-016, SK-034, SK-030
substance-abuse-introduction-to-field-leadership-part-4-policy-scorm12-mp01ux4h;IFL-39;Substance Abuse- Introduction to Field Leadership Part - 4 Policy;IFL;SKILLS;;Y;1;;Y;SK-011, SK-016, SK-008, SK-009, SK-014
techniques-for-better-communication-and-feedback-introduction-to-field-leadership-section-3-scorm12-eunu31cm;IFL-40;Techniques for Better Communication and Feedback Introduction to Field Leadership Section 3 -;IFL;SKILLS;;Y;1;;Y;SK-011, SK-016, SK-099, SK-023, SK-005
time-management-introduction-to-field-leadership-section-1-scorm12-ecy9z7j1;IFL-41;Time Management - Introduction to Field Leadership Section - 1;IFL;SKILLS;;Y;1;;Y;SK-011, SK-016, SK-036
using-tool-and-technology-introduction-to-field-leadership-section-1-scorm12-q5xzm9rq;IFL-42;Using Tool and Technology- Introduction to Field Leadership Section - 1;IFL;SKILLS;;Y;1;;;SK-011, SK-016, SK-099
chapter-01-embracing-lean-productivity-scorm12-rrruldwd;LEAN-00;Chapter 01 - Embracing Lean Productivity;LEAN;INTRO;;Y;1;;;SK-044, SK-028, SK-037, SK-040, SK-042
chapter-02-what-you-need-to-know-scorm12-n-qj69jo;LEAN-01;Chapter 02 - What You Need to Know;LEAN;INTRO;;Y;1;;;SK-005, SK-040, SK-050
