SOP ID,SOP Title,Phase,Roles (RACI),Primary JD,Related SOPs,Formerly
9.6.070,9.6.070 Conduct Post-Project Review,6 – Project Closeout,Project Manager; Branch Manager; Executive Management,,9.4.400; 9.4.430; 9.6.060,Formerly 9.41.795
9.6.080,9.6.080 Capture Client Feedback,6 – Project Closeout,Project Manager; Branch Manager; Business Development,,9.6.070; 9.6.085; 9.4.190,Formerly 9.41.800
9.6.085,9.6.085 Document Lessons Learned,6 – Project Closeout,Project Manager; Branch Manager; Quality Coordinator,,9.6.070; 9.6.080; 9.4.190,Formerly 9.41.805
9.2.010,9.2.010 – Team Selection,2 – Preconstruction,Project Manager; General Superintendent; Branch Manager/Business Manager; Safety Coordinator; Purchasing; Prefabrication Lead; Project Coordinator,,9.2.015; 9.2.040; 9.4.190,Formerly 9.41.005
9.2.015,9.2.015 Project Turnover Meeting,2 – Preconstruction,Estimator; PM; Contract Manager; General Superintendent; Field Leadership; Prefab Lead; Safety Coordinator; Branch Manager,,9.2.010; 9.2.020,Formerly 9.41.010
9.2.020,9.2.020 Procurement of Large Feeder Wire,2 – Preconstruction,PM; APM; Project Coordinator; Purchasing; Vendor; Branch Manager,,9.2.080; 9.2.110,Formerly 9.2.10; 9.41.010
9.2.040,"9.2.040 Project Manager Reviews Plans,  Specifications & Schedule",2 – Preconstruction,PM; APM,,9.2.060; 9.2.110,Formerly 9.41.020
9.2.050,"9.2.050 Field Supervisor Reviews Plans,  Specifications & Schedule",2 – Preconstruction,General Superintendent; Field Supervisor,,9.2.070; 9.2.080,Formerly 9.41.025
9.2.057,9.2.057 – Identify Value Engineering & Prefabrication Opportunities,2 – Preconstruction,Project Manager; Prefabrication Lead; Field Supervisor/General Superintendent; Estimator; Contract Manager; Safety Coordinator; BIM/VDC; Branch Manager,,9.2.055; 9.2.015; 9.1.050; 9.4.190,
9.2.060,9.2.060 Create List of Issues & Begin RFI Process,2 – Preconstruction,PM; APM; Project Coordinator,,9.2.040; 9.2.110,Formerly 9.41.030
9.2.070,9.2.070 – Conduct Site Visit,2 – Preconstruction,PM (A); Field Leadership (R); Safety Coordinator (R); General Superintendent (C),,9.2.060; 9.2.055; 9.4.190,Formerly 9.41.035
9.2.080,9.2.080 – Prepare Material Handling Plan,2 – Preconstruction,PM; Field Supervisor; Safety; General Superintendent,,9.2.070; 9.2.020,Formerly 9.41.060
9.2.140,9.2.140 Develop Project Budget,2 – Preconstruction,PM; Estimator; Accounting; Branch Manager,,9.4.410; 9.4.400; 9.4.405,Formerly 9.41.395
9.2.160,9.2.160 Develop Procurement Plan,2 – Preconstruction,PM; Estimator; Purchasing; Branch Manager,,9.2.020; 9.4.605; 9.4.620,Formerly 9.41.600
9.3.470,9.3.470 Develop Site-Specific Safety Plan,3 – Mobilization & Job Site Setup,Safety Coordinator; PM; Field Supervisor; Branch Manager,,9.3.010; 9.3.115; 9.4.165,Formerly 9.41.470
9.4.010,9.4.010 Conduct Coordination Meetings,4 – Construction,PM; Field Supervisor; Subcontractors; Site Admin,,9.4.020; 9.4.030,Formerly 9.41.150
9.4.190,9.4.190 Document Filing Standards,4 – Construction,PM; Field Foreman; Site Administrator; Branch Manager,,9.6.060; 9.4.195; 9.4.200,9.41.190A
9.4.360,9.4.360 Manage Change Orders,4 – Construction,PM; Estimator; Accounting; Site Administrator,,9.4.205; 9.4.355; 9.4.365,Formerly 9.41.360
9.4.365,9.4.365 Manage Potential Change Orders (PCOs),4 – Construction,PM; Estimator; Site Administrator,,9.4.360; 9.4.370; 9.4.355,Formerly 9.41.365
9.4.745,9.4.745 Manage Field Rework,4 – Construction,Project Manager; General Superintendent; Foreman; QA/QC,,Document Filing Standards; Nonconformance Reporting; Corrective Action; Change Management,9.41.745
9.5.550,9.5.550 Manage Commissioning Activities,5 – Testing & Commissioning,PM; Commissioning Agent; Subcontractors; Quality Inspector,,9.4.515; 9.4.530; 9.4.545,Formerly 9.41.550
