course_id,filename,title,skill_level_set,category,proficiency_level,series_name,series_order
abuse-introduction-to-field-leadership-part-4-policy-scorm12-mp01ux4h,substance-abuse-introduction-to-field-leadership-part-4-policy-scorm12-mp01ux4h.zip,Substance Abuse- Introduction to Field Leadership Part - 4 Policy,Leadership & Field Management,Leadership & Management,Awareness,,
scorm12-2n9lhzco,test-scorm12-2n9lhzco.zip,TEST,Leadership & Field Management,Leadership & Management,Basic,,
for-better-communication-and-feedback-introduction-to-field-leadership-section-3-scorm12-eunu31cm,techniques-for-better-communication-and-feedback-introduction-to-field-leadership-section-3-scorm12-eunu31cm.zip,Techniques for Better Communication and Feedback Introduction to Field Leadership Section 3 -,Leadership & Field Management,Leadership & Management,Awareness,Techniques for Better Communication and Feedback Introduction to Field Leadership,3
scorm12-xrofbisj,untitled-scorm12-xrofbisj.zip,Untitled Xrofbisj,Leadership & Field Management,Leadership & Management,Basic,,
tool-and-technology-introduction-to-field-leadership-section-1-scorm12-q5xzm9rq,using-tool-and-technology-introduction-to-field-leadership-section-1-scorm12-q5xzm9rq.zip,Using Tool and Technology- Introduction to Field Leadership Section - 1,Leadership & Field Management,Leadership & Management,Awareness,,
8075-4ede-84eb-8fb88fd3d500,ab06661d-8075-4ede-84eb-8fb88fd3d500.zip,Values Driven Leadership : 1 Coach K Teaches Values-Driven Leadership,Leadership & Field Management,Leadership & Management,Basic,,
b64f-439b-89c8-784b842c2691,03fd4e80-b64f-439b-89c8-784b842c2691.zip,Values Driven Leadership : 10 Planning Your Next Play,Leadership & Field Management,Leadership & Management,Basic,,
1d22-4d32-9dcc-ba401140474a,1a8c5a7e-1d22-4d32-9dcc-ba401140474a.zip,Values Driven Leadership : 12 Improve Individual Performance,Leadership & Field Management,Leadership & Management,Basic,,
6e7a-44e9-843a-990cd8f81814,493823b2-6e7a-44e9-843a-990cd8f81814.zip,Values Driven Leadership : 13 Give Feedback,Leadership & Field Management,Leadership & Management,Basic,,
7596-47c8-a379-721843310b5c,21bd2729-7596-47c8-a379-721843310b5c.zip,Values Driven Leadership : 14 Develop Emerging Leaders,Leadership & Field Management,Leadership & Management,Basic,,
e80f-43e7-9a6e-03781a978a09,781af65a-e80f-43e7-9a6e-03781a978a09.zip,Values Driven Leadership : 17 Bounce Back from a Loss,Leadership & Field Management,Leadership & Management,Basic,,
e40a-47e1-b34c-48b387997be5,0e803e8d-e40a-47e1-b34c-48b387997be5.zip,Values Driven Leadership : 2 Define Your Core Values,Leadership & Field Management,Leadership & Management,Basic,,
